DEBUG 2023-12-18 10:45:12,005 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1702892666.6631384
DEBUG 2023-12-18 10:45:12,005 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1702892666.6596186
DEBUG 2023-12-18 10:45:12,005 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1702892666.6616206
DEBUG 2023-12-18 10:45:12,005 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\opcode.py first seen with mtime 1698312077.8489554
DEBUG 2023-12-18 10:45:12,005 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\sqlite3\__init__.py first seen with mtime 1698312078.3613262
DEBUG 2023-12-18 10:45:12,005 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1702892664.089743
DEBUG 2023-12-18 10:45:12,005 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\sentry_sdk\integrations\excepthook.py first seen with mtime 1702892701.007094
DEBUG 2023-12-18 10:45:12,006 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\sentry_sdk\serializer.py first seen with mtime 1702892700.979524
DEBUG 2023-12-18 10:45:12,006 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1702892664.4457273
DEBUG 2023-12-18 10:45:12,006 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\email\encoders.py first seen with mtime 1697388587.2792618
DEBUG 2023-12-18 10:45:12,006 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\sentry_sdk\hub.py first seen with mtime 1702892700.974519
DEBUG 2023-12-18 10:45:12,006 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\re\_compiler.py first seen with mtime 1702384898.641402
DEBUG 2023-12-18 10:45:12,006 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\DLLs\_uuid.pyd first seen with mtime 1702384897.576104
DEBUG 2023-12-18 10:45:12,006 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\copyreg.py first seen with mtime 1698312077.361969
DEBUG 2023-12-18 10:45:12,006 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py first seen with mtime 1669201793.634614
DEBUG 2023-12-18 10:45:12,006 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\dis.py first seen with mtime 1702384898.1103265
